iso3,security_id,year,basis,coupon_lcu_mn,uplift_lcu_mn,discount_lcu_mn,floating_lcu_mn,premium_discount_amort_lcu_mn,total_lcu_mn,computability,reference_values_used,derivation,run_id,source_id,snapshot_sha256,quality_grade,notes
DEU,DE0001030070,2008,accrued,0.0,0.0,0.0,0.0,0.0,0.0,computed,,"accrued: nominal 0.0->3,173.8; coupon nan% x1 = 0.00",20260910T102726Z,ggfiscal.debt.interest,,A,
DEU,DE0001030070,2008,cash,0.0,0.0,0.0,0.0,0.0,0.0,computed,,"cash: nominal 0.0->3,173.8; coupon nan% x1 = 0.00",20260910T102726Z,ggfiscal.debt.interest,,A,
DEU,DE0001030070,2009,accrued,0.0,0.0,0.0,0.0,0.0,0.0,computed,,"accrued: nominal 3,173.8->2,494.5; coupon nan% x1 = 0.00",20260910T102726Z,ggfiscal.debt.interest,,A,
DEU,DE0001030070,2009,cash,0.0,0.0,0.0,0.0,0.0,0.0,computed,,"cash: nominal 3,173.8->2,494.5; coupon nan% x1 = 0.00",20260910T102726Z,ggfiscal.debt.interest,,A,
DEU,DE0001030070,2010,accrued,0.0,0.0,0.0,0.0,0.0,0.0,computed,,"accrued: nominal 2,494.5->1,974.7; coupon nan% x1 = 0.00",20260910T102726Z,ggfiscal.debt.interest,,A,
DEU,DE0001030070,2010,cash,0.0,0.0,0.0,0.0,0.0,0.0,computed,,"cash: nominal 2,494.5->1,974.7; coupon nan% x1 = 0.00",20260910T102726Z,ggfiscal.debt.interest,,A,
DEU,DE0001030070,2011,accrued,0.0,0.0,0.0,0.0,0.0,0.0,computed,,"accrued: nominal 1,974.7->2,153.7; coupon nan% x1 = 0.00",20260910T102726Z,ggfiscal.debt.interest,,A,
DEU,DE0001030070,2011,cash,0.0,0.0,0.0,0.0,0.0,0.0,computed,,"cash: nominal 1,974.7->2,153.7; coupon nan% x1 = 0.00",20260910T102726Z,ggfiscal.debt.interest,,A,
DEU,DE0001030070,2012,accrued,0.0,0.0,0.0,0.0,0.0,0.0,computed,,"accrued: nominal 2,153.7->1,724.7; coupon nan% x1 = 0.00",20260910T102726Z,ggfiscal.debt.interest,,A,
DEU,DE0001030070,2012,cash,0.0,0.0,0.0,0.0,0.0,0.0,computed,,"cash: nominal 2,153.7->1,724.7; coupon nan% x1 = 0.00",20260910T102726Z,ggfiscal.debt.interest,,A,
